Period,Load,P_Unit1,Status_Unit1,P_Unit2,Status_Unit2,P_Unit5,Status_Unit5,P_Unit8,Status_Unit8,P_Unit11,Status_Unit11,P_Unit13,Status_Unit13
1,166,50.0,1,60.0,1,23.75,1,10.25,1,10.0,1,12.0,1
2,196,50.0,1,60.0,1,23.75,1,28.25,1,15.0,1,19.0,1
3,229,66.25,1,60.0,1,23.75,1,35.0,1,25.0,1,19.0,1
4,257,104.25,1,60.0,1,23.75,1,35.0,1,15.0,1,19.0,1
5,263,110.25,1,60.0,1,23.75,1,35.0,1,15.0,1,19.0,1
6,252,99.25,1,60.0,1,23.75,1,35.0,1,15.0,1,19.0,1
7,246,93.25,1,60.0,1,23.75,1,35.0,1,15.0,1,19.0,1
8,213,60.25,1,60.0,1,23.75,1,35.0,1,15.0,1,19.0,1
9,192,50.0,1,60.0,1,23.75,1,24.25,1,15.0,1,19.0,1
10,161,50.0,1,60.0,1,19.0,1,10.0,1,10.0,1,12.0,1
11,147,50.0,1,50.0,1,15.0,1,10.0,1,10.0,1,12.0,1
12,160,50.0,1,60.0,1,18.0,1,10.0,1,10.0,1,12.0,1
13,170,50.0,1,60.0,1,23.75,1,14.25,1,10.0,1,12.0,1
14,185,50.0,1,60.0,1,23.75,1,17.25,1,15.0,1,19.0,1
15,208,55.25,1,60.0,1,23.75,1,35.0,1,15.0,1,19.0,1
16,232,79.25,1,60.0,1,23.75,1,35.0,1,15.0,1,19.0,1
17,246,93.25,1,60.0,1,23.75,1,35.0,1,15.0,1,19.0,1
18,241,88.25,1,60.0,1,23.75,1,35.0,1,15.0,1,19.0,1
19,236,83.25,1,60.0,1,23.75,1,35.0,1,15.0,1,19.0,1
20,225,72.25,1,60.0,1,23.75,1,35.0,1,15.0,1,19.0,1
21,204,51.25,1,60.0,1,23.75,1,35.0,1,15.0,1,19.0,1
22,182,50.0,1,60.0,1,23.75,1,16.25,1,15.0,1,17.0,1
23,161,50.0,1,60.0,1,19.0,1,10.0,1,10.0,1,12.0,1
24,131,50.0,1,34.0,1,15.0,1,10.0,1,10.0,1,12.0,1
