Group,Label,Value
Unit1,1.0,50.0
Unit1,2.0,50.0
Unit1,3.0,66.25
Unit1,4.0,104.25
Unit1,5.0,110.25
Unit1,6.0,99.25
Unit1,7.0,93.25
Unit1,8.0,60.25
Unit1,9.0,50.0
Unit1,10.0,50.0
Unit1,11.0,50.0
Unit1,12.0,50.0
Unit1,13.0,50.0
Unit1,14.0,50.0
Unit1,15.0,55.25
Unit1,16.0,79.25
Unit1,17.0,93.25
Unit1,18.0,88.25
Unit1,19.0,83.25
Unit1,20.0,72.25
Unit1,21.0,51.25
Unit1,22.0,50.0
Unit1,23.0,50.0
Unit1,24.0,50.0
Unit2,1.0,60.0
Unit2,2.0,60.0
Unit2,3.0,60.0
Unit2,4.0,60.0
Unit2,5.0,60.0
Unit2,6.0,60.0
Unit2,7.0,60.0
Unit2,8.0,60.0
Unit2,9.0,60.0
Unit2,10.0,60.0
Unit2,11.0,50.0
Unit2,12.0,60.0
Unit2,13.0,60.0
Unit2,14.0,60.0
Unit2,15.0,60.0
Unit2,16.0,60.0
Unit2,17.0,60.0
Unit2,18.0,60.0
Unit2,19.0,60.0
Unit2,20.0,60.0
Unit2,21.0,60.0
Unit2,22.0,60.0
Unit2,23.0,60.0
Unit2,24.0,34.0
Unit8,1.0,10.25
Unit8,2.0,28.25
Unit8,3.0,35.0
Unit8,4.0,35.0
Unit8,5.0,35.0
Unit8,6.0,35.0
Unit8,7.0,35.0
Unit8,8.0,35.0
Unit8,9.0,24.25
Unit8,10.0,10.0
Unit8,11.0,10.0
Unit8,12.0,10.0
Unit8,13.0,14.25
Unit8,14.0,17.25
Unit8,15.0,35.0
Unit8,16.0,35.0
Unit8,17.0,35.0
Unit8,18.0,35.0
Unit8,19.0,35.0
Unit8,20.0,35.0
Unit8,21.0,35.0
Unit8,22.0,16.25
Unit8,23.0,10.0
Unit8,24.0,10.0
